id,ipsae,pdockq2,prodigy_kd,prodigy_dg_internal,dG_rosetta,ipTM+pTM,pTM,dG_SASA_ratio
7t1e__A1_P78556_and_7t1e__B1_P78556,0.0,0.0378,3.6269751477647687e-07,-8.780505840707965,1479.11328125,0.20213924827192076,0.1305932342366408,0.8305785495027899
7tmg__A1_A0A0H3GLR2_and_7tmg__B1_A0A0H3GLR2,0.937415,0.7878,4.409529411816821e-12,-15.481510813008128,5.704321384429932,0.9636847768502663,0.9626911044246144,0.00101168766808852
7uav__A1_P0DW58_and_7uav__B1_P0DW58,0.913386,0.7852,5.054602475237798e-16,-20.85401680851064,-102.1111831665039,0.951502815323757,0.9517004525046571,-0.015275219946270336
7ucd__B1_P17535_and_7ucd__A1_P53539,0.631358,0.6725,1.0378546362088576e-06,-8.158017519379847,-78.79231262207031,0.7883687662945823,0.7858979807869981,-0.03162846790639685
7uh4__A1_UNDEFINED_and_7uh4__B1_UNDEFINED,0.651637,0.571,3.546246989761876e-08,-10.157169441624365,991.2882690429688,0.7913147382269637,0.7902188926483642,0.4817442372578504
7uj6__A1_Q8RMD9_and_7uj6__B1_Q8RMD9,0.908102,0.7605,8.346883396834133e-13,-16.46702276497696,-63.0042724609375,0.9467703024122331,0.94554679805635,-0.015418773961743423
7uqo__A1_UNDEFINED_and_7uqo__A2_UNDEFINED,0.821816,0.6255,5.054447513975474e-09,-11.310681754385964,-37.641082763671875,0.906473313403503,0.9040511405167131,-0.024849761874656543
7vkb__A1_Q5ZSZ6_and_7vkb__B1_Q5ZSZ7,0.899829,0.7226,5.101888245266478e-09,-11.305150358422939,193.0919952392578,0.9500418265790409,0.9499846567363243,0.08207138792363558
7vmv__B1_Q5I3B6_and_7vmv__A1_Q58HT7,0.871395,0.6961,9.837372144899292e-16,-20.45975076433121,655.749267578125,0.8669599111615726,0.8627592210408563,0.13052206025063237
7vrc__A1_P38956_and_7vrc__B1_P22082,0.83558,0.7423,1.0394987116034255e-08,-10.883752671755728,626.1486206054688,0.9145630243101518,0.9159070178517715,0.26647960900187584
7vsf__A1_P25440_and_7vsf__B1_P25440,0.851158,0.7827,3.4704067052835324e-08,-10.169969268292682,1.8154127597808838,0.9193525003055659,0.9159248319999824,0.0008893859733771979
7wik__B1_A0R1E6_and_7wik__A1_A0R1E6,0.870252,0.6575,5.965123507795468e-12,-15.30260402930403,-90.15432739257812,0.9225543757538565,0.9220769550865101,-0.019067392390704818
7wt0__A1_Q04760_and_7wt0__B1_Q04760,0.917696,0.7914,2.1999859539159592e-20,-26.799889999999998,481.5992126464844,0.9408272711642605,0.9402283685266828,0.061233006751978916
7x1k__A1_Q6DL91_and_7x1k__B1_Q6DL91,0.706338,0.7427,2.2035443930865513e-06,-7.712226666666666,-36.4310417175293,0.8489673053026995,0.8420825599403676,-0.03378145330394107
7xge__A1_UNDEFINED_and_7xge__B1_Q07820,0.877416,0.6756,2.328898843435753e-08,-10.406139650655023,9.69991397857666,0.9295449443808312,0.9310389541958959,0.0035916218422222344
7xl7__A1_A0A2J0R8J6_and_7xl7__B1_A0A2J0R8J6,0.71689,0.718,1.2621118909195996e-06,-8.042186666666666,50.93948745727539,0.8741092683524986,0.8717487136365745,0.030440045396410903
7xxs__A1_B2CKP3_and_7xxs__B1_B2CKP3,0.849045,0.6662,2.5496659419419945e-11,-14.442524532871973,82.73600769042969,0.9101061435358574,0.9074930727627046,0.025947727440305823
7y51__A1_Q8RBF4_and_7y51__A2_Q8RBF4,0.013717,0.1073,3.754312192597569e-06,-7.396738979591838,1543.3201904296875,0.4396750333288212,0.38234543381706776,1.4158103282017043
7yo8__A1_P60520_and_7yo8__A2_P60520,0.015969,0.0777,4.576199618149169e-19,-25.00289696969697,25996.228515625,0.4682825289871364,0.46767119048814165,4.886280846438224
7yrt__E1_H9L4P6_and_7yrt__A1_H9L4P6,0.625547,0.5414,7.465631481051991e-07,-8.353069999999999,767.0196533203125,0.7773520965650029,0.7694767865776514,0.23510094738188295
7yuj__B1_Q9BYM8_and_7yuj__A1_Q9BYM8,0.015835,0.0651,1.2633242901956005e-11,-14.858299033457252,5434.39501953125,0.39552444460979475,0.3843210431180484,1.9371547917539291
7z56__B1_F0NGX6_and_7z56__A1_F0NGX6,0.865348,0.663,1.0976884292005054e-07,-9.488166603773585,1463.3638916015625,0.9201506570949012,0.9190942688088074,0.4934048204186411
7zc8__B1_UNDEFINED_and_7zc8__A1_UNDEFINED,0.728812,0.6089,1.2213527740216434e-08,-10.788295734265734,95.93197631835938,0.8459615430463746,0.8501339944322708,0.039280821965737664
7zcm__A1_P42196_and_7zcm__B1_P42259,0.897916,0.7468,0.0012735124934866325,-3.946853842794761,154.30242919921875,0.9291466973362106,0.9245211476131742,0.0771433514772359
7zoo__B1_A0A979GQH9_and_7zoo__A1_A0A979GQH9,0.0,0.0,1.7799613494462915e-06,-7.838623243243244,2883.240234375,0.2522884878842997,0.1756492641925485,2.3582559562189873
8a8f__A1_P32598_and_8a8f__B1_P42073,0.892635,0.6938,7.795585839284014e-10,-12.41747205128205,219.03884887695312,0.9112503645401402,0.9018001889472701,0.06066530816284249
8aai__A1_O00560_and_8aai__C1_O00560,0.827523,0.6915,1.8690560875838487e-08,-10.536376825396825,-10.831328392028809,0.9037563248415829,0.899673426169326,-0.00457882567439576
8aeu__A1_Q00987_and_8aeu__A2_Q00987,0.013535,0.1172,2.7664339505315937e-06,-7.577531095890411,4391.19970703125,0.30446913558928573,0.23808181779826953,3.1836615848148737
8afj__A1_A0A179QS89_and_8afj__B1_A0A179QS89,0.883486,0.7417,9.305738125610895e-08,-9.585956334519574,-36.49858474731445,0.9364552471718821,0.9334307369978283,-0.0173614830955188
8ag8__A1_A0A1I5SVP7_and_8ag8__A2_A0A1I5SVP7,0.440851,0.4731,1.0616614724480124e-06,-8.144589302325581,-8.330702781677246,0.6863364266605839,0.665069687978513,-0.004395657950671714
8aim__C1_Q6GJ88_and_8aim__A1_A0A141HSF0,0.914546,0.7706,3.6577003248124674e-10,-12.865519719626167,-19.44338035583496,0.9441873351057561,0.9416399541580531,-0.008065288453504888
8b3s__A1_O31597_and_8b3s__B1_A0A164W157,0.011076,0.0305,4.5687787288805356e-11,-14.097168518518519,14251.0234375,0.25325716989539904,0.20371571567018912,6.520786754709436
8bjp__B1_A0A1W6VSR4_and_8bjp__A1_A0A1W6VSR4,0.822623,0.6997,4.9199698730632416e-08,-9.963311949685536,61.64793395996094,0.8975363109385253,0.8984152722625685,0.022501256901933223
8c5k__A1_P87252_and_8c5k__A2_P87252,0.79402,0.629,3.6117498356510113e-09,-11.50966888888889,1657.2369384765625,0.8796030195754297,0.877001742882451,0.7208528204676742
8d03__A1_UNDEFINED_and_8d03__A2_UNDEFINED,0.653684,0.7327,5.3818127947916475e-06,-7.183515652173913,58.6417236328125,0.8616345384215676,0.8551777764985424,0.03600348588371484
8e3g__B1_P43026_and_8e3g__A1_P12643,0.809966,0.6609,2.8749112687776146e-10,-13.008102427745666,13.809704780578613,0.8890658157557446,0.8907881855116292,0.005483682343628985
8es5__A1_A0A0H2Z732_and_8es5__B1_A0A0H2Z732,0.895387,0.7419,2.6712381305734856e-07,-8.961600476190476,-1.0085688829421997,0.9438612899378523,0.9422117862970547,-0.000324098597734647
8fk6__A1_A0A0C9S461_and_8fk6__B1_P80098,0.762264,0.6891,2.2514338712044854e-08,-10.426169008264463,213.71656799316406,0.8581820709455799,0.8625828804441216,0.12353604170953256
8gt9__A1_A8MW95_and_8gt9__B1_A8MW95,0.066708,0.2132,2.431864812998847e-07,-9.017188022598871,750.4420776367188,0.46377138830764975,0.4411173787482712,0.18590583416771322
8hdv__A1_UNDEFINED_and_8hdv__B1_UNDEFINED,0.631315,0.566,5.5087353711916255e-11,-13.9863950209205,1690.51123046875,0.8110300784624811,0.8058825006594461,0.27768209356103773
8ho2__A1_A0A191T7N6_and_8ho2__B1_A0A191T7N6,0.768427,0.6145,6.941118181973289e-07,-8.396202015810278,959.29150390625,0.868344233310739,0.861865385165353,0.5665381622169523
8hwi__B1_A0A327WNX5_and_8hwi__A1_A0A327WNX5,0.818722,0.592,1.2454859767469373e-11,-14.866719003690037,1321.6009521484375,0.8939674145894648,0.8912052494426961,0.3705746309521226
8i33__C1_A0A6Q8PFJ0_and_8i33__A1_A0A6Q8PFJ0,0.453136,0.647,1.7987874471414856e-06,-7.8323937837837825,97.2751235961914,0.7147425536478863,0.7106758972715861,0.04240394393200706
8i8y__B1_UNDEFINED_and_8i8y__A1_UNDEFINED,0.529331,0.4982,1.508810694929383e-06,-7.9364778125,-40.166160583496094,0.7955245283296655,0.7960179077625699,-0.025741405383035407
8iw5__A1_Q8C8U0_and_8iw5__B1_Q8C8U0,0.609265,0.7581,8.987695135662988e-08,-9.606546111111113,318.153076171875,0.8136115341548318,0.8122442200288555,0.09392567751603845
8j64__A1_Q967S9_and_8j64__B1_O00816,0.875124,0.7119,2.7659227679579906e-08,-10.304312857142857,32.64307403564453,0.9162112680956437,0.9138008256915756,0.020623072699221735
8pq7__A1_M1C5B8_and_8pq7__B1_D0N0Z8,0.908706,0.7155,2.4134401128316962e-09,-11.748363333333334,28.163074493408203,0.9403407251334627,0.9361741980776473,0.01015238289036406
8pzo__A1_F9UT68_and_8pzo__A2_F9UT68,0.883005,0.7537,2.2553182057528864e-10,-13.151820718232045,-43.51612854003906,0.9351658329047634,0.9326401444196356,-0.024237089197887956
8qfo__A1_A0A840P3H4_and_8qfo__B1_A0A840P3H4,0.755534,0.5943,8.252102046916712e-08,-9.657103719008266,29.036375045776367,0.86231593732679,0.8570707521626402,0.013399460180562
8ri0__A1_E4THH1_and_8ri0__B1_E4THH1,0.913479,0.7141,4.248226497498608e-10,-12.776903492063493,135.69215393066406,0.9494911032507481,0.9487391422337108,0.053425687073608424
8smq__A1_Q182N1_and_8smq__B1_Q182N1,0.804731,0.4835,4.131770107758723e-28,-37.33341212598425,-245.31820678710938,0.8553097036757058,0.8756575259577137,-0.021430840800539308
